Name,SSN,Salary,Awards,Taxpaid,Eligible for pay raise
Ajay,6133,30000,2,yes,yes
Ram,6578,35000,3,no,yes
Akhil,3456,40000,4,yes,yes
Chandini,8756,50000,5,no,yes
Chandana,3766,35000,4,yes,yes
Priyanka,3464,40000,3,yes,yes
Yashodha,7685,60000,8,yes,yes
Nivedita,7468,30000,6,no,no
Annapurna,8790,20000,4,no,no
Sushma,7654,40000,2,yes,yes
Shilpa,9087,20000,4,no,yes
Ankita,7854,46000,6,yes,no
Sneha,6134,50000,7,no,yes
Rakshita,6135,45000,5,no,no
Reuben,6133,32000,4,no,no
Nikhil,5678,60000,4,yes,yes
Puneeth,6433,55000,6,no,yes
Shyam,5788,10000,6,yes,yes
irfan,5690,15000,7,yes,no
